name,sortBy,nameEntry,tagEntry,teacherEntry,dateText,dateKnown,tag,supertag,attributionName,group,lineage,indexExcerpts,indexSessions,searchable,teacherPage,attribute,allowTag
Ajahn Dee,"(9999, 0.0)",True,False,False,,unknown,,,,,,,,,,,
Ajahn Phut,"(9999, 0.0)",True,False,False,,unknown,,,,,,,,,,,
Ajahn Samwong,"(9999, 0.0)",True,False,False,,unknown,,,,,,,,,,,
Ajahn Chah lineage,"(9999, 0.0)",True,False,False,,unknown,,,,,,,,,,,
Ajahn Chah Remembrance Day,"(9999, 0.0)",True,False,False,,unknown,,,,,,,,,,,
Master Hsu Yun,"(9999, 1860.18)",True,False,False,1860,estimatedYear,,,,,,,,,,,
Mahatma Gandhi,"(9999, 1869.18)",True,False,False,1869,knownYear,,,,,,,,,,,
Ṭhanissarā,"(9999, 1955.18)",True,False,False,1955,estimatedYear,,,,,,,,,,,
Ajahn Jumnien,"(9999, 1956.18)",True,False,False,1956,estimatedYear,,,,,,,,,,,
Ajahn Sinuan,"(9999, 1958.18)",True,False,False,1958,estimatedYear,,,,,,,,,,,
Insight Meditation Society,"(9999, 1975.18)",True,True,False,1975,knownYear,Insight Meditation Society,,,,,,,,,,
Aruna Ratanagiri Monastery,"(9999, 1981.18)",True,False,False,1981,knownYear,,,,,,,,,,,
Wat Pah Boon Lorm,"(9999, 1985.18)",True,False,False,1985,estimatedYear,,,,,,,,,,,
Spirit Rock Meditation Center,"(9999, 1985.18)",True,False,False,1985,knownYear,,,,,,,,,,,
Panyaprateep School,"(9999, 2005.18)",True,True,False,2005,estimatedYear,Panyaprateep School,,,,,,,,,,
Dhammadharini Monastery,"(9999, 2005.228)",True,False,False,August 2005,knownMonth,,,,,,,,,,,
Karuna Buddhist Vihara,"(9999, 2012.18)",True,False,False,2012,knownYear,,,,,,,,,,,
Tan Suhajjo,"(9999, 2014.173)",True,False,False,22 Jun 2014,exactDate,,,,,,,,,,,
